ad_archive_id,claims,caption,neg,neu,pos,compound,sentiment_label,source_file,party
427480589881211,"{""Claims"": [""The anti-Albanian quarters have a tendency to abolish amnesty and distort the fight for freedom and equality of U\u00c3\u2021K."", ""Gordana Siljanovska has proven the same thing from her own mouth today."", ""It is necessary to prove that VMRO-DPMNE's political battle is to subjugate Albanians, not to continue the partnership established in 2001!"", ""The European Front should win over 22 mandates and 'Siljanovskas' should remain only a memory of posters and billboards.""]}","{""Claims"": [""The anti-Albanian quarters have a tendency to abolish amnesty and distort the fight for freedom and equality of U\u00c3\u2021K."", ""Gordana Siljanovska has proven the same thing from her own mouth today."", ""It is necessary to prove that VMRO-DPMNE's political battle is to subjugate Albanians, not to continue the partnership established in 2001!"", ""The European Front should win over 22 mandates and 'Siljanovskas' should remain only a memory of posters and billboards.""]}",0.091,0.809,0.1,0.4199,positive,VMRO-DPMNE_claims.csv,VMRO-DPMNE
1636678057070325,"{""Claims"": [""Macedonia is yours again!"", ""It's time for a change!""]}","{""Claims"": [""Macedonia is yours again!"", ""It's time for a change!""]}",0.0,1.0,0.0,0.0,neutral,VMRO-DPMNE_claims.csv,VMRO-DPMNE
252100357930225,"{""Claims"": [""Many years ago""]}","{""Claims"": [""Many years ago""]}",0.0,1.0,0.0,0.0,neutral,VMRO-DPMNE_claims.csv,VMRO-DPMNE
1117244869521215,"{ ""Claims"": [ ""Gordana Siljanovska-Davkov won the first round of presidential elections in North Macedonia held on April 24."", ""She secured a decisive victory with 363,086 votes (40.08%) and gained 182,586 more votes than Stevo Pendarovski, the current president who received 180,500 votes (19.92%)."", ""Bujar Osmani from the European Front triumphed over his rival Arben Taravari from VLEN."", ""Osmani received 121,088 votes (13.37%), while Taravari received 83,393 votes (9.20%).""]}","{ ""Claims"": [ ""Gordana Siljanovska-Davkov won the first round of presidential elections in North Macedonia held on April 24."", ""She secured a decisive victory with 363,086 votes (40.08%) and gained 182,586 more votes than Stevo Pendarovski, the current president who received 180,500 votes (19.92%)."", ""Bujar Osmani from the European Front triumphed over his rival Arben Taravari from VLEN."", ""Osmani received 121,088 votes (13.37%), while Taravari received 83,393 votes (9.20%).""]}",0.0,0.819,0.181,0.9201,positive,VMRO-DPMNE_claims.csv,VMRO-DPMNE
1595858924569626,"{""Claims"": [""Your trust in politicians is lost"", ""The people's will is many times manipulated and crushed"", ""Nothing functions"", ""Macedonia is oppressed from above by the government, while the government is skeptical whether something can be changed"", ""It's your time, life and death to decide together"", ""Changes are possible"", ""We need concrete projects and solutions for Macedonia's development, for a better future"", ""I ask for your support for a complete reconstruction of the way from Otovica to Mamutschevo"", ""Changes are in your hands!"", ""Macedonia is yours again!""]}","{""Claims"": [""Your trust in politicians is lost"", ""The people's will is many times manipulated and crushed"", ""Nothing functions"", ""Macedonia is oppressed from above by the government, while the government is skeptical whether something can be changed"", ""It's your time, life and death to decide together"", ""Changes are possible"", ""We need concrete projects and solutions for Macedonia's development, for a better future"", ""I ask for your support for a complete reconstruction of the way from Otovica to Mamutschevo"", ""Changes are in your hands!"", ""Macedonia is yours again!""]}",0.169,0.729,0.102,-0.7896,negative,VMRO-DPMNE_claims.csv,VMRO-DPMNE
1826112547851414,"{""Claims"": [""For reconstruction of the Katlanovo-Veles highway!"", ""For designing a new express road Veles-Chashka-Prilep!"", ""You decide!"", ""For Macedonia to be yours again!""]}","{""Claims"": [""For reconstruction of the Katlanovo-Veles highway!"", ""For designing a new express road Veles-Chashka-Prilep!"", ""You decide!"", ""For Macedonia to be yours again!""]}",0.0,1.0,0.0,0.0,neutral,VMRO-DPMNE_claims.csv,VMRO-DPMNE
402145615942772,"{""Claims"": [""N\u00ebse shkojm\u00eb me logjik\u00ebn e Mickoskit dhe Siljanovsk\u00ebs sonte i bie q\u00eb e kemi mar\u00eb edhe Shkupin."", ""E kemi th\u00ebn\u00eb q\u00eb dit\u00ebn e par\u00eb se beteja jon\u00eb politike \u00ebsht\u00eb kund\u00ebr strukturave politike nacionaliste maqedonase t\u00eb cil\u00ebt edhe kur kan\u00eb problem me Greqin\u00eb fajin ua kan\u00eb shqiptar\u00ebt, edhe kur kan\u00eb problem me Bullgarin\u00eb fajin e hedhin te shqiptar\u00ebt."", ""Kur pyesin opozitar\u00ebt se \u00e7ka na b\u00ebri bashk me Ali Ahmetin duhet t'ua thoni se na b\u00ebn\u00eb bashk thirrjet anti shqiptare t\u00eb partnerit t\u00eb tyre strategjik Mickoskit, i cili na detyroj q\u00eb ne t\u00eb bashkohemi."", ""Andaj, t\u00eb dashur v\u00ebllez\u00ebr dhe motra, t\u00eb ndihemi krenar q\u00eb jemi pjes\u00eb e k\u00ebsaj faqe t\u00eb re t\u00eb historis\u00eb q\u00eb po e shkruajm\u00eb.""]}","{""Claims"": [""N\u00ebse shkojm\u00eb me logjik\u00ebn e Mickoskit dhe Siljanovsk\u00ebs sonte i bie q\u00eb e kemi mar\u00eb edhe Shkupin."", ""E kemi th\u00ebn\u00eb q\u00eb dit\u00ebn e par\u00eb se beteja jon\u00eb politike \u00ebsht\u00eb kund\u00ebr strukturave politike nacionaliste maqedonase t\u00eb cil\u00ebt edhe kur kan\u00eb problem me Greqin\u00eb fajin ua kan\u00eb shqiptar\u00ebt, edhe kur kan\u00eb problem me Bullgarin\u00eb fajin e hedhin te shqiptar\u00ebt."", ""Kur pyesin opozitar\u00ebt se \u00e7ka na b\u00ebri bashk me Ali Ahmetin duhet t'ua thoni se na b\u00ebn\u00eb bashk thirrjet anti shqiptare t\u00eb partnerit t\u00eb tyre strategjik Mickoskit, i cili na detyroj q\u00eb ne t\u00eb bashkohemi."", ""Andaj, t\u00eb dashur v\u00ebllez\u00ebr dhe motra, t\u00eb ndihemi krenar q\u00eb jemi pjes\u00eb e k\u00ebsaj faqe t\u00eb re t\u00eb historis\u00eb q\u00eb po e shkruajm\u00eb.""]}",0.092,0.908,0.0,-0.8834,negative,VMRO-DPMNE_claims.csv,VMRO-DPMNE
1463429004244655,"{""Claims"": [""It's not necessary to have a president like Pendarovski as an executor of Ali Ahmeti"", ""Dostoevsky worthy president like Gordana Siljanovska Davkova""]}","{""Claims"": [""It's not necessary to have a president like Pendarovski as an executor of Ali Ahmeti"", ""Dostoevsky worthy president like Gordana Siljanovska Davkova""]}",0.0,0.717,0.283,0.7845,positive,VMRO-DPMNE_claims.csv,VMRO-DPMNE
392857170323758,"{""Claims"": [""Vote for number 2"", ""Vote for the greatest victory in electoral unit 2"", ""Support many projects and a better future for all people""]}","{""Claims"": [""Vote for number 2"", ""Vote for the greatest victory in electoral unit 2"", ""Support many projects and a better future for all people""]}",0.0,0.643,0.357,0.8779,positive,VMRO-DPMNE_claims.csv,VMRO-DPMNE
403410729140623,"{""Claims"": [""Macedonia is only one"", ""There's only one Macedonia"", ""One Macedoniya will remain, broken into pieces, and then it will be ours most loved"", ""The Macedonians loudly shout"", ""Singing the Macedonian song"", ""Dance the Macedonian dance"", ""Remember dear mother the Macedoniya"", ""Lived Macedonia alive""]}","{""Claims"": [""Macedonia is only one"", ""There's only one Macedonia"", ""One Macedoniya will remain, broken into pieces, and then it will be ours most loved"", ""The Macedonians loudly shout"", ""Singing the Macedonian song"", ""Dance the Macedonian dance"", ""Remember dear mother the Macedoniya"", ""Lived Macedonia alive""]}",0.059,0.762,0.179,0.7425,positive,VMRO-DPMNE_claims.csv,VMRO-DPMNE
